City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Okhotsk,59.3833,143.3,57.61,67,15,8.57,RU,1627760137
La reforma,25.0833,-108.05,97.75,54,4,15.55,MX,1627760196
Tiksi,71.6872,128.8694,39.94,91,93,8.1,RU,1627760197
Nacala,-14.5428,40.6728,71.1,83,3,10.42,MZ,1627760197
Tuktoyaktuk,69.4541,-133.0374,57.2,100,90,18.41,CA,1627760197
Aleksandrovskiy zavod,50.9237,117.9374,47.39,95,1,5.57,RU,1627760197
Dingle,10.9995,122.6711,77.77,88,98,6.4,PH,1627760174
Katangli,51.7102,143.2326,53.74,83,100,12.71,RU,1627760198
Cape town,-33.9258,18.4232,57.27,85,75,1.99,ZA,1627760140
Castro,-24.7911,-50.0119,53.19,63,95,6.89,BR,1627760198
Port-gentil,-0.7193,8.7815,76.96,78,20,12.66,GA,1627760199
Santiago del estero,-27.7951,-64.2615,70.81,17,3,5.46,AR,1627760199
Jaggayyapeta,16.9,80.1,82.85,67,100,9.26,IN,1627760199
Bereda,43.2686,-7.5406,60.91,68,11,3.53,ES,1627760200
Souillac,-20.5167,57.5167,70.18,78,75,14.97,MU,1627760141
Alibag,18.6411,72.8792,82.47,84,100,16.89,IN,1627760200
Linxia,35.6003,103.2064,63.52,40,6,4.94,CN,1627760200
Atambua,-9.1061,124.8925,71.69,88,30,5.48,ID,1627760201
San patricio,28.017,-97.5169,97.52,40,40,14.5,US,1627760201
Cidreira,-30.1811,-50.2056,57.0,82,0,13.94,BR,1627760149
Darnah,32.767,22.6367,85.39,43,0,15.3,LY,1627760202
Arraial do cabo,-22.9661,-42.0278,69.76,94,75,3.44,BR,1627760151
Craig,40.5153,-107.5464,83.39,32,1,0.0,US,1627760202
Acapulco,16.8634,-99.8901,87.62,66,40,5.75,MX,1627759906
Busselton,-33.65,115.3333,50.09,81,80,27.87,AU,1627760203
Takaungu,-3.6837,39.8566,73.89,82,68,15.79,KE,1627760203
La romana,18.4273,-68.9728,85.73,83,75,16.11,DO,1627760203
Asau,46.4333,26.4,74.32,89,51,5.5,RO,1627760205
Sharan,54.8167,54.0,65.79,87,55,6.46,RU,1627760103
Georgetown,5.4112,100.3354,78.73,94,40,3.0,MY,1627760085
Merrill,45.1805,-89.6835,78.82,71,40,5.75,US,1627760205
Tambo,-14.8,-73.9167,46.72,38,52,15.66,PE,1627760205
Skibbereen,51.55,-9.2667,66.0,90,48,7.31,IE,1627760206
Nerchinskiy zavod,51.3088,119.61,49.91,95,92,5.53,RU,1627760206
Berlevag,70.8578,29.0864,48.67,90,100,11.16,NO,1627760206
Vila franca do campo,37.7167,-25.4333,77.41,79,32,5.12,PT,1627760207
Aswan,24.0934,32.907,93.58,15,57,8.28,EG,1627759943
Malanje,-9.5402,16.341,72.1,27,0,3.78,AO,1627760207
Dalmatovo,56.26,62.9362,64.22,93,100,7.18,RU,1627760207
Tahta,26.7693,31.5021,95.32,15,14,4.27,EG,1627760208
Narsaq,60.9167,-46.05,62.82,70,19,4.14,GL,1627760186
Buenos aires,-34.6132,-58.3772,63.03,62,0,5.75,AR,1627760208
Manggar,-2.8833,108.2667,80.8,77,43,10.29,ID,1627760209
Atuona,-9.8,-139.0333,76.75,70,40,12.97,PF,1627760209
Tahe,52.3333,124.7333,50.67,99,100,6.8,CN,1627759934
Ngorongoro,-3.2397,35.4875,48.4,75,11,6.82,TZ,1627760210
Lander,42.833,-108.7307,81.1,62,75,0.0,US,1627760210
Arkhara,49.4212,130.0842,64.26,95,77,15.3,RU,1627760210
Maragogi,-9.0122,-35.2225,76.87,78,65,12.91,BR,1627760211
Longyearbyen,78.2186,15.6401,44.44,70,75,13.8,SJ,1627760211
Kishtwar,33.3167,75.7667,68.09,94,80,1.74,IN,1627760211
Poplar bluff,36.757,-90.3929,95.63,88,90,3.44,US,1627760212
Port blair,11.6667,92.75,82.09,81,100,17.16,IN,1627760212
Caravelas,-17.7125,-39.2481,69.64,69,42,12.73,BR,1627760212
Yar-sale,66.8333,70.8333,46.44,86,14,8.19,RU,1627760213
Mineiros,-17.5694,-52.5511,83.91,19,6,6.62,BR,1627760213
Kavieng,-2.5744,150.7967,80.65,75,40,5.64,PG,1627760213
Mildura,-34.2,142.15,50.07,100,75,3.44,AU,1627760214
Carauari,-4.8828,-66.8958,90.16,29,41,2.08,BR,1627760214
Post falls,47.718,-116.9516,103.39,22,1,17.27,US,1627760153
Pisco,-13.7,-76.2167,66.25,72,20,9.22,PE,1627760213
College,64.8569,-147.8028,71.1,59,75,4.61,US,1627760215
Urozhaynoye,44.7883,44.9228,77.77,38,1,7.09,RU,1627760215
Palmer,42.1584,-72.3287,76.64,44,20,3.0,US,1627760041
Ferrol,43.4832,-8.2369,66.45,80,29,5.86,ES,1627760215
Rawlins,41.7911,-107.2387,72.34,53,90,16.11,US,1627759920
Gewane,10.1664,40.6453,81.77,55,82,9.01,ET,1627760216
Bulaevo,54.9056,70.4439,63.34,79,100,0.69,KZ,1627760216
Grand gaube,-20.0064,57.6608,70.2,78,0,5.01,MU,1627760217
Rawson,-43.3002,-65.1023,50.07,33,0,7.72,AR,1627760214
Baturaja,-4.1333,104.1667,72.77,94,46,2.33,ID,1627760217
Ixtapa,20.7,-105.2,86.23,70,90,4.61,MX,1627760217
Madison,34.7334,-86.5667,92.79,69,75,1.99,US,1627760174
Upernavik,72.7868,-56.1549,42.76,78,100,0.51,GL,1627760218
Oussouye,12.485,-16.5469,75.38,85,100,10.94,SN,1627760218
Mar del plata,-38.0023,-57.5575,55.42,27,0,8.01,AR,1627760023
Tura,25.5198,90.2201,74.21,98,100,4.63,IN,1627760218
Foumban,5.7291,10.9001,64.13,93,97,2.28,CM,1627760219
Makinsk,52.6292,70.4169,63.86,73,54,1.79,KZ,1627760219
Raudeberg,61.9875,5.1352,54.27,78,98,28.07,NO,1627760219
Tasiilaq,65.6145,-37.6368,51.96,78,66,3.4,GL,1627760154
Sinjar,36.3209,41.8754,94.73,18,18,13.8,IQ,1627760220
Santa rosa,14.3122,121.1114,82.9,81,100,10.78,PH,1627760220
Loubomo,-4.1997,12.6739,71.87,74,3,6.26,CG,1627760221
Petropavlovsk-kamchatskiy,53.0452,158.6483,50.59,100,90,2.24,RU,1627760221
Palu,-0.8917,119.8707,75.27,94,76,2.71,ID,1627760221
Guilin,25.2819,110.2864,77.11,91,100,0.2,CN,1627760221
Dagana,16.5165,-15.5068,94.98,53,64,15.32,MR,1627760222
Mount gambier,-37.8333,140.7667,40.91,93,9,6.91,AU,1627760222
Kundiawa,-6.0167,144.9667,57.87,97,60,2.57,PG,1627760223
Yangambi,0.8102,24.4336,76.15,74,100,2.91,CD,1627760223
Hambantota,6.1241,81.1185,79.29,82,50,18.07,LK,1627760208
Katsuura,35.1333,140.3,80.11,82,89,0.74,JP,1627760223
Carnarvon,-24.8667,113.6333,50.07,55,40,6.91,AU,1627759946
Mingshui,36.7167,117.5,70.54,96,94,17.13,CN,1627760224
Rolla,37.9514,-91.7713,92.28,71,1,4.0,US,1627760172
Hasaki,35.7333,140.8333,73.8,91,53,6.85,JP,1627760166
Port elizabeth,-33.918,25.5701,57.09,76,40,3.44,ZA,1627760224
Lagoa,39.05,-27.9833,71.22,80,100,9.75,PT,1627760148
Jadu,31.953,12.0261,88.5,14,0,7.09,LY,1627760225
Half moon bay,37.4636,-122.4286,91.58,66,40,11.5,US,1627760225
Katherine,-14.4667,132.2667,66.52,68,48,0.0,AU,1627760226
Ormara,25.2088,64.6357,81.16,85,88,14.97,PK,1627760226
Carberry,49.8689,-99.3602,75.43,21,9,17.25,CA,1627760226
Chicama,-7.8447,-79.1469,66.74,59,3,9.62,PE,1627760227
Cartagena,10.3997,-75.5144,92.82,66,40,17.27,CO,1627760227
Kihei,20.785,-156.4656,82.98,70,20,21.85,US,1627759948
Bengkulu,-3.8004,102.2655,75.09,91,31,3.74,ID,1627760227
Kavaratti,10.5669,72.642,81.27,81,17,15.26,IN,1627760228
Thompson,55.7435,-97.8558,73.56,43,75,11.5,CA,1627760228
Juneau,58.3019,-134.4197,78.84,68,20,8.05,US,1627759982
Victoria,22.2855,114.1577,86.38,91,99,3.0,HK,1627760176
Navalmoral de la mata,39.8916,-5.5406,68.58,39,12,3.06,ES,1627760229
Bathsheba,13.2167,-59.5167,88.41,66,75,20.71,BB,1627760229
Saint-philippe,-21.3585,55.7679,69.39,81,24,13.29,RE,1627760229
Manavalakurichi,8.1333,77.3,78.89,82,83,16.49,IN,1627760230
Labuhan,-6.8844,112.2051,75.51,85,86,6.93,ID,1627760080
Hegang,47.4,130.3667,62.22,98,55,7.65,CN,1627760230
Tacuati,-23.45,-56.5833,62.58,47,100,2.82,PY,1627760230
Saskylakh,71.9167,114.0833,65.75,42,0,8.46,RU,1627760231
Caldas novas,-17.7417,-48.625,83.05,25,4,3.47,BR,1627760231
Lasa,46.6166,10.7002,63.48,93,100,4.23,IT,1627760231
Vao,-22.6667,167.4833,66.83,59,0,22.68,NC,1627760063
Salalah,17.0151,54.0924,78.89,89,90,8.05,OM,1627760053
Borisoglebskiy,57.2586,39.1508,65.84,77,0,6.98,RU,1627760232
Jambi,-1.6,103.6167,77.88,78,87,2.62,ID,1627760232
Namibe,-15.1961,12.1522,68.02,94,38,2.48,AO,1627760233
Udala,43.0778,-2.5125,57.47,94,88,2.73,ES,1627760233
Jaciara,-15.9653,-54.9683,90.59,15,45,4.34,BR,1627760234
Valer,60.6785,11.8331,59.5,98,100,3.85,NO,1627760234
Sola,-13.8833,167.55,76.68,75,100,15.64,VU,1627760230
Saint-joseph,-21.3667,55.6167,68.38,78,12,14.09,RE,1627760035
Nokaneng,-19.6667,22.2667,56.48,34,0,7.99,BW,1627760235
Alofi,-19.0595,-169.9187,76.89,100,93,12.66,NU,1627760235
Fortuna,40.5982,-124.1573,97.48,78,1,12.66,US,1627760235
Carutapera,-1.195,-46.02,78.89,87,50,7.23,BR,1627760236
Ewa beach,21.3156,-158.0072,82.35,60,40,17.0,US,1627760236
Abu kamal,34.4506,40.9171,96.6,14,0,6.8,SY,1627760236
Lompoc,34.6391,-120.4579,89.02,73,40,12.66,US,1627760088
Galabovo,42.139,25.8673,81.25,44,90,7.85,BG,1627760237
Bemidji,47.4736,-94.8803,80.89,39,1,12.66,US,1627760237
Westport,41.1415,-73.3579,78.98,51,20,1.99,US,1627760191
Omboue,-1.5746,9.2618,75.09,74,22,10.4,GA,1627760237
Vostok,46.4856,135.8833,62.96,97,72,3.94,RU,1627760238
Puerto colombia,10.9878,-74.9547,87.89,74,2,21.43,CO,1627760238
Tautira,-17.7333,-149.15,80.62,62,82,12.48,PF,1627760238
Sept-iles,50.2001,-66.3821,70.25,58,75,3.0,CA,1627760239
Umm kaddadah,13.6017,26.6876,87.1,46,80,20.31,SD,1627760239
Beyneu,45.3167,55.2,87.73,15,0,16.84,KZ,1627760239
Shache,38.4167,77.2406,85.3,23,100,4.32,CN,1627760240
Jacareacanga,-6.2222,-57.7528,96.57,24,58,3.69,BR,1627760240
Hami,42.8,93.45,80.22,34,100,8.66,CN,1627760240
Gandajika,-6.75,23.95,73.62,26,33,5.32,CD,1627760241
Mecca,21.4267,39.8261,90.91,41,100,11.01,SA,1627760241
Somerset,40.5668,-74.5496,80.46,46,1,3.0,US,1627760121
Storebo,60.0948,5.2271,60.26,76,15,5.01,NO,1627760241
Meulaboh,4.1363,96.1285,75.78,85,100,2.84,ID,1627760242
Fort nelson,58.8053,-122.7002,80.19,44,20,3.44,CA,1627760210
Cockburn town,21.4612,-71.1419,87.76,62,40,14.97,TC,1627760095
Morwell,-38.2333,146.4,46.9,92,100,2.13,AU,1627760242
Chokwe,-24.5333,32.9833,61.23,82,0,4.05,MZ,1627760243
Ratnagiri,16.9833,73.3,80.11,85,97,16.28,IN,1627760243
Gimli,50.6336,-96.9907,79.43,49,1,20.71,CA,1627760243
Emerald,-23.5333,148.1667,60.94,100,40,5.75,AU,1627760244
Yarada,17.65,83.2667,84.52,74,75,9.22,IN,1627760244
Cabo san lucas,22.8909,-109.9124,99.81,65,40,5.01,MX,1627760143
Chancay,-11.5714,-77.2672,67.32,78,30,9.15,PE,1627760165
Northam,51.0333,-4.2167,62.65,91,14,7.05,GB,1627760242
Coihaique,-45.5752,-72.0662,43.41,56,0,6.91,CL,1627760220
Gisborne,-38.6533,178.0042,46.94,87,61,4.74,NZ,1627760245
Oistins,13.0667,-59.5333,87.89,66,75,20.71,BB,1627760175
Mayo,38.8876,-76.5119,85.73,55,9,7.0,US,1627760245
Nyurba,63.2842,118.3319,55.89,63,6,1.79,RU,1627760246
Gizo,-8.103,156.8419,81.32,76,86,16.98,SB,1627760246
Bud,39.447,-86.1758,74.03,71,100,5.44,US,1627760246
Yumen,40.2833,97.2,76.6,21,99,19.98,CN,1627760247
Kiama,-34.6833,150.8667,60.01,70,1,8.08,AU,1627759976
Doksy,50.5647,14.6555,71.65,69,14,4.65,CZ,1627760247
Laguna,38.421,-121.4238,99.43,37,1,1.01,US,1627760247
Sfantu gheorghe,45.8667,25.7833,74.26,67,1,8.99,RO,1627760238
Dzhebariki-khaya,62.2167,135.8,54.55,65,5,3.29,RU,1627760248
Kupang,-10.1667,123.5833,75.36,84,5,9.26,ID,1627760248
Atocha,-20.9333,-66.2333,47.64,24,26,25.84,BO,1627760249
Severo-kurilsk,50.6789,156.125,53.53,96,100,4.72,RU,1627760249
Tshela,-4.9833,12.9333,71.76,78,2,3.96,CD,1627760249
Tiarei,-17.5333,-149.3333,80.62,62,84,13.78,PF,1627760249
Fier,40.7239,19.5561,80.13,46,0,2.86,AL,1627760250
Eureka,40.8021,-124.1637,97.75,75,70,4.0,US,1627760111
Nemuro,43.3236,145.575,65.05,99,100,14.23,JP,1627760250
Plettenberg bay,-34.0527,23.3716,61.47,42,14,3.83,ZA,1627760251
Townsend,39.3951,-75.6916,82.27,50,1,1.99,US,1627760251
Isangel,-19.55,169.2667,68.11,64,8,14.97,VU,1627760251
Padang,-0.9492,100.3543,76.19,88,100,3.09,ID,1627760068
Saint-leu,-21.15,55.2833,68.86,72,43,5.64,RE,1627760252
Vysotsk,60.6288,28.5705,61.92,89,19,10.67,RU,1627760252
Havoysund,70.9963,24.6622,45.48,87,100,6.26,NO,1627760253
Cap malheureux,-19.9842,57.6142,70.29,78,0,5.01,MU,1627760253
Lyubokhna,53.5033,34.3885,68.36,69,91,3.36,RU,1627760253
Quatre cocos,-20.2078,57.7625,69.91,71,3,14.99,MU,1627760254
New norfolk,-42.7826,147.0587,47.7,71,12,1.99,AU,1627760254
Monrovia,6.3005,-10.7969,73.17,87,86,11.41,LR,1627760255
Muzhi,65.3667,64.6667,49.68,78,100,7.16,RU,1627760255
Constitucion,-35.3333,-72.4167,58.75,65,99,10.02,CL,1627760074
Bonavista,48.6499,-53.1147,69.8,70,4,21.54,CA,1627760209
Hualmay,-11.0964,-77.6139,67.68,73,18,13.85,PE,1627760234
Disna,55.568,28.1971,63.05,72,100,6.4,BY,1627760256
Harbour breton,47.4833,-55.7983,60.89,88,47,19.84,CA,1627760256
Dunedin,-45.8742,170.5036,50.81,85,100,15.99,NZ,1627760235
Champerico,14.3,-91.9167,93.74,72,14,6.06,GT,1627760256
Pedernales,18.0384,-71.744,90.64,56,56,3.38,DO,1627760257
Nampa,43.5407,-116.5635,90.48,43,1,3.44,US,1627760257
Campo maior,-4.8278,-42.1686,97.7,15,3,8.75,BR,1627760258
Mastic,40.802,-72.8409,79.16,54,75,11.5,US,1627760258
Adrar,20.5022,-10.0711,98.64,21,68,13.44,MR,1627760258
Baruun-urt,46.6806,113.2792,51.55,76,2,7.67,MN,1627760259
Alta floresta,-9.8756,-56.0861,94.82,24,0,5.75,BR,1627760259
Litovko,49.2361,135.1742,59.23,78,100,10.96,RU,1627760259
Hofn,64.2539,-15.2082,50.02,88,34,10.45,IS,1627760260
Vanimo,-2.6741,141.3028,76.23,89,44,4.27,PG,1627760078
Xam nua,20.4197,104.0439,69.22,98,100,3.06,LA,1627760260
Cody,44.5263,-109.0565,90.91,34,20,12.66,US,1627760085
Usinsk,65.9939,57.5281,56.25,70,100,9.55,RU,1627760260
Shingu,33.7333,135.9833,77.92,90,46,4.09,JP,1627760261
Praya,14.9215,-23.5087,79.34,73,75,10.36,CV,1627760261
Nanortalik,60.1432,-45.2371,48.36,81,72,14.23,GL,1627760230
Seoul,37.5683,126.9778,78.4,83,75,1.14,KR,1627760225
Najran,17.4924,44.1277,86.65,43,81,11.86,SA,1627760262
Redlands,34.0556,-117.1825,101.07,30,1,1.01,US,1627759999
Pouebo,-20.4,164.5667,61.79,66,29,5.19,NC,1627760262
Pangkalanbuun,-2.6833,111.6167,73.08,96,23,1.5,ID,1627760262
Bandarbeyla,9.4942,50.8122,76.05,82,100,25.95,SO,1627760263
Santa marta,11.2408,-74.199,92.34,74,7,18.45,CO,1627760129
Queanbeyan,-35.35,149.2333,48.97,94,75,4.61,AU,1627760263
Grants,35.1473,-107.8514,79.03,31,1,3.44,US,1627760067
Kralendijk,12.15,-68.2667,85.98,70,75,18.41,BQ,1627760264
Chabahar,25.2919,60.643,83.64,85,24,4.27,IR,1627760264
Kalmunai,7.4167,81.8167,80.62,75,100,6.87,LK,1627760264
Balkhash,46.844,74.9804,73.13,39,0,3.94,KZ,1627760265
Ambon,-3.6954,128.1814,79.05,83,27,7.18,ID,1627760261
Hobyo,5.3505,48.5268,76.69,78,85,25.66,SO,1627760265
San cristobal,7.7669,-72.225,86.18,54,66,8.5,VE,1627760266
Bondoukou,8.0333,-2.8,72.93,93,100,3.94,CI,1627760266
Kaeo,-35.1,173.7833,52.32,89,13,7.31,NZ,1627760267
Codrington,-38.2667,141.9667,41.49,91,52,8.72,AU,1627760163
Batemans bay,-35.7167,150.1833,55.02,74,0,2.91,AU,1627760267
Saint-medard-en-jalles,44.8969,-0.7214,64.62,77,0,3.44,FR,1627760267
Isla vista,34.4133,-119.861,96.67,55,40,9.22,US,1627760268
Kampot,10.6167,104.1833,78.85,85,100,9.15,KH,1627760268
Sao jose da coroa grande,-8.8978,-35.1478,77.02,78,51,13.22,BR,1627760268
Pak phanang,8.3511,100.202,81.07,80,100,6.51,TH,1627760269
Aykhal,66.0,111.5,59.56,43,6,4.47,RU,1627760269
Yulara,-25.2406,130.9889,51.64,76,40,0.0,AU,1627760227
Multai,21.7667,78.25,72.1,90,100,14.94,IN,1627760270
Port macquarie,-31.4333,152.9167,44.56,70,0,9.55,AU,1627760270
Horki,54.2861,30.9842,65.19,67,67,5.3,BY,1627760270
Port lincoln,-34.7333,135.8667,49.12,76,4,8.28,AU,1627760271
Bouar,5.934,15.596,66.13,98,100,3.33,CF,1627760271
Astana,51.1801,71.446,67.95,49,0,2.24,KZ,1627760047
Tilichiki,60.4667,166.1,48.9,54,29,4.0,RU,1627760272
Diamantino,-14.4086,-56.4461,93.7,13,3,2.66,BR,1627760272
Luocheng,29.3848,104.0286,70.9,83,1,2.21,CN,1627760272
Chernyshevsk,52.5243,117.0174,48.76,91,6,5.66,RU,1627760272
